metric,label,value,n,category_name,run_name,model
original_yes_rate,Original YES Rate,0.7,10,backpack,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
crop_yes_rate,Crop YES Rate,0.9,10,backpack,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
masked_yes_rate,Masked YES Rate,0.3,10,backpack,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
ghost_object_rate,Ghost Object Rate,0.4285714285714285,10,backpack,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
context_persistence_index,Context Persistence Index,0.4285714285714286,10,backpack,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.4,10,backpack,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.3,10,backpack,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,backpack,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
original_yes_rate,Original YES Rate,1.0,10,baseball bat,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
crop_yes_rate,Crop YES Rate,1.0,10,baseball bat,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
masked_yes_rate,Masked YES Rate,0.6,10,baseball bat,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
ghost_object_rate,Ghost Object Rate,0.6,10,baseball bat,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
context_persistence_index,Context Persistence Index,0.6,10,baseball bat,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.4,10,baseball bat,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.6,10,baseball bat,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,baseball bat,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
original_yes_rate,Original YES Rate,1.0,10,book,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
crop_yes_rate,Crop YES Rate,0.9,10,book,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
masked_yes_rate,Masked YES Rate,0.6,10,book,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
ghost_object_rate,Ghost Object Rate,0.6,10,book,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
context_persistence_index,Context Persistence Index,0.6,10,book,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.3,10,book,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.7,10,book,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,book,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
original_yes_rate,Original YES Rate,1.0,10,bottle,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
crop_yes_rate,Crop YES Rate,0.9,10,bottle,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
masked_yes_rate,Masked YES Rate,0.8,10,bottle,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
ghost_object_rate,Ghost Object Rate,0.8,10,bottle,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
context_persistence_index,Context Persistence Index,0.8,10,bottle,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.2,10,bottle,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.8,10,bottle,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,bottle,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
original_yes_rate,Original YES Rate,1.0,10,bowl,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
crop_yes_rate,Crop YES Rate,1.0,10,bowl,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
masked_yes_rate,Masked YES Rate,0.7,10,bowl,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
ghost_object_rate,Ghost Object Rate,0.7,10,bowl,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
context_persistence_index,Context Persistence Index,0.7,10,bowl,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.3,10,bowl,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.7,10,bowl,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,bowl,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
original_yes_rate,Original YES Rate,0.9,10,cell phone,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
crop_yes_rate,Crop YES Rate,0.9,10,cell phone,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
masked_yes_rate,Masked YES Rate,0.2,10,cell phone,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
ghost_object_rate,Ghost Object Rate,0.2222222222222222,10,cell phone,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
context_persistence_index,Context Persistence Index,0.2222222222222222,10,cell phone,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.7,10,cell phone,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.2,10,cell phone,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,cell phone,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
original_yes_rate,Original YES Rate,0.9,10,chair,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
crop_yes_rate,Crop YES Rate,0.9,10,chair,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
masked_yes_rate,Masked YES Rate,0.7,10,chair,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
ghost_object_rate,Ghost Object Rate,0.7777777777777778,10,chair,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
context_persistence_index,Context Persistence Index,0.7777777777777777,10,chair,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.1,10,chair,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.8,10,chair,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,chair,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
original_yes_rate,Original YES Rate,1.0,10,clock,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
crop_yes_rate,Crop YES Rate,1.0,10,clock,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
masked_yes_rate,Masked YES Rate,0.4,10,clock,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
ghost_object_rate,Ghost Object Rate,0.4,10,clock,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
context_persistence_index,Context Persistence Index,0.4,10,clock,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.6,10,clock,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_abstention_rate,GHOST-Guard Abstention Rate,0.4,10,clock,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0,10,clock,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
original_yes_rate,Original YES Rate,1.0,10,cup,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
crop_yes_rate,Crop YES Rate,0.8,10,cup,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
masked_yes_rate,Masked YES Rate,0.9,10,cup,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
ghost_object_rate,Ghost Object Rate,0.9,10,cup,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
context_persistence_index,Context Persistence Index,0.9,10,cup,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.1,10,cup,large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b
